Domain,Created Date,Updated Date,Expiry Date,Name Servers
0000111servicehelpdesk.godaddysites.com,"[datetime.datetime(2013, 11, 18, 17, 8, 35), datetime.datetime(2013, 11, 18, 12, 8, 35)]","[datetime.datetime(2023, 10, 26, 20, 31, 59), datetime.datetime(2023, 10, 26, 15, 11, 19)]","[datetime.datetime(2032, 11, 18, 17, 8, 35), datetime.datetime(2032, 11, 18, 12, 8, 35)]","CNS1.SECURESERVER.NET, CNS2.SECURESERVER.NET"
00003.online,N/A,N/A,N/A,N/A
000n38p.wcomhost.com,2012-01-25 20:25:03,"[datetime.datetime(2023, 12, 4, 21, 35, 29), datetime.datetime(2023, 11, 28, 13, 46, 52)]",2033-01-25 20:25:03,"NS51.WORLDNIC.COM, NS52.WORLDNIC.COM"
001002.xyz,2018-09-12 22:28:15,2024-11-14 08:14:18,2025-09-12 23:59:59,"FREE1.GOOGIEHOST.COM, FREE2.GOOGIEHOST.COM, CLOUD1.GOOGIEHOST.COM, CLOUD2.GOOGIEHOST.COM"
